d,All,All,All,All+Gloss,All+Gloss,All+Gloss,Freq,Freq,Freq,Gloss,Gloss,Gloss,Gloss+Freq,Gloss+Freq,Gloss+Freq,All+Freq,All+Freq,All+Freq,All+Gloss+Freq,All+Gloss+Freq,All+Gloss+Freq
0,1019,2.16667,470.3070,1155,2.16667,533.0761,982,2.2,446.3636,1460,2.16667,673.8451,1204,2.16667,555.6915,1060,2.23077,475.1722,1112,2.16667,513.2300
5,892,2.16667,411.6917,849,2.16667,391.8456,795,2.23077,356.3792,810,2.16667,373.8456
10,693,2.16667,319.8457,709,2.16667,327.2303,706,2.16667,325.8457,738,2.16667,340.6149,721,2.16667,332.7687,691,2.16667,318.9226,701,2.16667,323.5380
15,679,2.16667,313.3841,667,2.16667,307.8457,647,2.16667,298.6149,656,2.16667,302.7688
20,627,2.16667,289.3842,641,2.16667,295.8457,643,2.16667,296.7688,651,2.16667,300.4611,648,2.16667,299.0765,636,2.16667,293.5380,640,2.16667,295.3842
25,631,2.16667,291.2303,628,2.16667,289.8457,623,2.16667,287.5380,623,2.16667,287.5380
30,609,2.16667,281.0765,614,2.16667,283.3842,618,2.16667,285.2303,617,2.16667,284.7688,618,2.16667,285.2303,613,2.16667,282.9226,614,2.16667,283.3842
35,608,2.16667,280.6150,606,2.16667,279.6919,602,2.16667,277.8457,603,2.16667,278.3073
40,592,2.16667,273.2303,596,2.16667,275.0765,593,2.16667,273.6919,598,2.16667,275.9996,597,2.16667,275.5380,594,2.16667,274.1534,576,2.16667,265.8457
45,592,2.16667,273.2303,592,2.16667,273.2303,588,2.16667,271.3842,589,2.16667,271.8457
50,582,2.16667,268.6150,585,2.16667,269.9996,585,2.16667,269.9996,587,2.16667,270.9227,588,2.16667,271.3842,584,2.16667,269.5380,584,2.16667,269.5380
55,583,2.16667,269.0765,584,2.16667,269.5380,581,2.16667,268.1534,581,2.16667,268.1534
60,577,2.16667,266.3073,577,2.16667,266.3073,579,2.16667,267.2304,579,2.16667,267.2304,580,2.16667,267.6919,578,2.16667,266.7688,578,2.16667,266.7688
65,577,2.16667,266.3073,579,2.16667,267.2304,577,2.16667,266.3073,577,2.16667,266.3073
70,575,2.16667,265.3842,574,2.16667,264.9227,577,2.16667,266.3073,576,2.16667,265.8457,578,2.16667,266.7688,576,2.16667,265.8457,576,2.16667,265.8457
75,575,2.16667,265.3842,577,2.16667,266.3073,575,2.16667,265.3842,575,2.16667,265.3842
80,575,2.16667,265.3842,574,2.16667,264.9227,576,2.16667,265.8457,574,2.16667,264.9227,577,2.16667,266.3073,575,2.16667,265.3842,575,2.16667,265.3842
85,574,2.16667,264.9227,577,2.16667,266.3073,575,2.16667,265.3842,575,2.16667,265.3842
90,573,2.16667,264.4611,573,2.16667,264.4611,574,2.16667,264.9227,572,2.16667,263.9996,575,2.16667,265.3842,574,2.16667,264.9227,574,2.16667,264.9227
95,572,2.16667,263.9996,575,2.16667,265.3842,574,2.16667,264.9227,574,2.16667,264.9227
100,572,2.16667,263.9996,572,2.16667,263.9996,573,2.16667,264.4611,572,2.16667,263.9996,575,2.16667,265.3842,573,2.16667,264.4611,573,2.16667,264.4611
