d,All,All,All,All+Gloss,All+Gloss,All+Gloss,Freq,Freq,Freq,Gloss,Gloss,Gloss,Gloss+Freq,Gloss+Freq,Gloss+Freq,All+Freq,All+Freq,All+Freq,All+Gloss+Freq,All+Gloss+Freq,All+Gloss+Freq
0,2567,2.08333,1232.1620,3347,2.08411,1605.9613,1598,2.03409,785.6093,4446,2.10213,2114.9976,4281,2.10213,2036.5058,2918,2.08586,1398.9434,3423,2.08411,1642.4277
5,1754,2.08374,841.7557,1908,2.07547,919.3098,1223,2.03409,601.2517,2191,3.08333,710.5954,2130,2.08333,1022.4016,1865,2.08629,893.9313,1947,2.07547,938.1008
10,1250,2.08122,600.6093,1307,2.08,628.3654,900,2.03448,442.3735,1423,2.08173,683.5661,1387,2.08173,666.2728,1289,2.08333,618.7210,1316,2.08,632.6923
15,971,2.08377,465.9823,995,2.08205,477.8944,715,2.03529,351.3013,1064,2.08543,510.2065,1031,2.08543,494.3825,984,2.08649,471.6054,998,2.08205,479.3353
20,800,2.07692,385.1858,814,2.08108,391.1431,590,2.03571,289.8252,854,2.08511,409.5707,833,2.08511,399.4993,804,2.08571,385.4802,820,2.08108,394.0262
25,696,2.07735,335.0422,694,2.08152,333.4102,494,2.03571,242.6672,716,2.08696,343.0828,700,2.08696,335.4161,684,2.08621,327.8673,698,2.08152,335.3319
30,628,2.07263,302.9967,622,2.07692,299.4819,446,2.0375,218.8957,634,2.08287,304.3877,625,2.08287,300.0667,616,2.08092,296.0229,624,2.07692,300.4449
35,555,2.07471,267.5073,556,2.07865,267.4813,404,2.03846,198.1888,565,2.0814,271.4519,558,2.0814,268.0888,541,2.08284,259.7415,555,2.07865,267.0002
40,509,2.06897,246.0161,502,2.08,241.3462,363,2.04,177.9412,508,2.07738,244.5388,499,2.07738,240.2064,498,2.07738,239.7250,348,2.05814,169.0847
45,463,2.06358,224.3674,465,2.07471,224.1277,332,2.04,162.7451,466,2.06667,225.4835,460,2.06667,222.5803,454,2.07186,219.1268,466,2.06897,225.2328
50,430,2.06395,208.3384,431,2.06936,208.2770,315,2.04054,154.3709,429,2.06329,207.9204,423,2.06329,205.0124,424,2.06587,205.2404,432,2.06358,209.3449
55,404,2.06395,195.7412,408,2.06936,197.1624,294,2.04054,144.0795,404,2.06329,195.8038,401,2.06329,194.3498,400,2.06587,193.6230,407,2.06358,197.2301
60,384,2.06395,186.0510,392,2.06936,189.4305,281,2.04054,137.7086,387,2.06329,187.5645,385,2.06329,186.5952,381,2.06587,184.4259,391,2.06358,189.4765
65,364,2.06509,176.2635,368,2.06936,177.8328,265,2.04054,129.8676,363,2.06329,175.9326,362,2.06329,175.4479,365,2.06707,176.5784,369,2.06358,178.8155
70,341,2.05952,165.5726,347,2.06395,168.1242,249,2.04054,122.0265,343,2.05732,166.7218,342,2.05732,166.2357,344,2.06135,166.8809,348,2.05814,169.0847
75,321,2.04762,156.7674,328,2.05233,159.8184,234,2.04054,114.6755,325,2.04487,158.9343,322,2.04487,157.4672,326,2.04908,159.0958,329,2.04651,160.7615
80,307,2.04762,149.9302,315,2.05233,153.4841,222,2.04054,108.7947,311,2.04487,152.0879,308,2.04487,150.6208,311,2.04908,151.7754,315,2.04651,153.9206
85,293,2.04762,143.0930,301,2.05233,146.6626,210,2.04054,102.9139,297,2.04487,145.2415,294,2.04487,143.7744,298,2.04908,145.4311,301,2.04651,147.0797
90,287,2.04762,140.1627,292,2.05263,142.2565,204,2.04054,99.9735,286,2.04516,139.8424,283,2.04516,138.3755,291,2.04908,142.0150,292,2.04678,142.6631
95,275,2.04762,134.3023,278,2.05263,135.4360,196,2.04054,96.0530,273,2.04516,133.4859,270,2.04516,132.0190,280,2.04908,136.6467,279,2.04678,136.3117
100,264,2.0479,128.9125,267,2.05357,130.0175,191,2.02857,94.1550,261,2.04516,127.6184,258,2.04516,126.1515,269,2.04938,131.2592,268,2.04762,130.8837
