sons , all+gloss vs freq / all+gloss , all+gloss vs freq / freq , all+gloss vs all+freq / all+gloss , all+gloss vs all+freq / all+freq , all+gloss vs all+gloss+freq / all+gloss , all+gloss vs all+gloss+freq / all+gloss+freq , all+gloss vs all / all+gloss , all+gloss vs all / all , all+gloss vs gloss / all+gloss , all+gloss vs gloss / gloss , all+gloss vs gloss+freq / all+gloss , all+gloss vs gloss+freq / gloss+freq , freq vs all+freq / freq , freq vs all+freq / all+freq , freq vs all+gloss+freq / freq , freq vs all+gloss+freq / all+gloss+freq , freq vs all / freq , freq vs all / all , freq vs gloss / freq , freq vs gloss / gloss , freq vs gloss+freq / freq , freq vs gloss+freq / gloss+freq , all+freq vs all+gloss+freq / all+freq , all+freq vs all+gloss+freq / all+gloss+freq , all+freq vs all / all+freq , all+freq vs all / all , all+freq vs gloss / all+freq , all+freq vs gloss / gloss , all+freq vs gloss+freq / all+freq , all+freq vs gloss+freq / gloss+freq , all+gloss+freq vs all / all+gloss+freq , all+gloss+freq vs all / all , all+gloss+freq vs gloss / all+gloss+freq , all+gloss+freq vs gloss / gloss , all+gloss+freq vs gloss+freq / all+gloss+freq , all+gloss+freq vs gloss+freq / gloss+freq , all vs gloss / all , all vs gloss / gloss , all vs gloss+freq / all , all vs gloss+freq / gloss+freq , gloss vs gloss+freq / gloss , gloss vs gloss+freq / gloss+freq , 
20 , 0.954758190328 , 0.951788491446 , 0.954758190328 , 0.962264150943 , 0.973478939158 , 0.975 , 0.951638065523 , 0.97288676236 , 0.984399375975 , 0.969278033794 , 0.973478939158 , 0.962962962963 , 0.979782270607 , 0.990566037736 , 0.9766718507 , 0.98125 , 0.945567651633 , 0.969696969697 , 0.951788491446 , 0.940092165899 , 0.98133748056 , 0.973765432099 , 0.987421383648 , 0.98125 , 0.965408805031 , 0.979266347687 , 0.954402515723 , 0.932411674347 , 0.982704402516 , 0.96450617284 , 0.95625 , 0.976076555024 , 0.9671875 , 0.950844854071 , 0.99375 , 0.981481481481 , 0.956937799043 , 0.921658986175 , 0.969696969697 , 0.938271604938 , 0.966205837174 , 0.970679012346 , 
25 , 0.960063897764 , 0.960063897764 , 0.961661341853 , 0.966292134831 , 0.974440894569 , 0.979133226324 , 0.963258785942 , 0.97572815534 , 0.984025559105 , 0.976228209192 , 0.974440894569 , 0.971337579618 , 0.985623003195 , 0.99036918138 , 0.980830670927 , 0.985553772071 , 0.958466453674 , 0.970873786408 , 0.955271565495 , 0.947702060222 , 0.982428115016 , 0.979299363057 , 0.987158908507 , 0.987158908507 , 0.972712680578 , 0.980582524272 , 0.956661316212 , 0.944532488114 , 0.982343499197 , 0.974522292994 , 0.969502407705 , 0.977346278317 , 0.969502407705 , 0.957210776545 , 0.993579454254 , 0.985668789809 , 0.959546925566 , 0.939778129952 , 0.970873786408 , 0.955414012739 , 0.968304278922 , 0.972929936306 , 
30 , 0.970684039088 , 0.964401294498 , 0.969055374593 , 0.970636215334 , 0.980456026059 , 0.980456026059 , 0.970684039088 , 0.978653530378 , 0.986970684039 , 0.982171799028 , 0.980456026059 , 0.974110032362 , 0.987055016181 , 0.995106035889 , 0.983818770227 , 0.990228013029 , 0.962783171521 , 0.977011494253 , 0.962783171521 , 0.964343598055 , 0.985436893204 , 0.985436893204 , 0.990212071778 , 0.988599348534 , 0.975530179445 , 0.981937602627 , 0.964110929853 , 0.957860615883 , 0.985318107667 , 0.977346278317 , 0.972312703583 , 0.980295566502 , 0.973941368078 , 0.969205834684 , 0.99348534202 , 0.987055016181 , 0.965517241379 , 0.952998379254 , 0.973727422003 , 0.959546925566 , 0.978930307942 , 0.977346278317 , 
35 , 0.971900826446 , 0.976744186047 , 0.97520661157 , 0.980066445183 , 0.981818181818 , 0.985074626866 , 0.978512396694 , 0.980132450331 , 0.988429752066 , 0.983552631579 , 0.981818181818 , 0.980198019802 , 0.995016611296 , 0.995016611296 , 0.991694352159 , 0.990049751244 , 0.980066445183 , 0.976821192053 , 0.975083056478 , 0.965460526316 , 0.991694352159 , 0.985148514851 , 0.995016611296 , 0.993366500829 , 0.985049833887 , 0.98178807947 , 0.97342192691 , 0.963815789474 , 0.990033222591 , 0.983498349835 , 0.983416252073 , 0.98178807947 , 0.978441127695 , 0.970394736842 , 0.993366500829 , 0.988448844884 , 0.968543046358 , 0.962171052632 , 0.975165562914 , 0.971947194719 , 0.980263157895 , 0.983498349835 , 
40 , 0.978187919463 , 0.983136593592 , 0.981543624161 , 0.984848484848 , 0.984899328859 , 0.988215488215 , 0.981543624161 , 0.988175675676 , 0.988255033557 , 0.984949832776 , 0.984899328859 , 0.98324958124 , 0.996627318718 , 0.994949494949 , 0.994940978078 , 0.993265993266 , 0.983136593592 , 0.984797297297 , 0.981450252951 , 0.973244147157 , 0.994940978078 , 0.988274706868 , 0.996632996633 , 0.996632996633 , 0.986531986532 , 0.989864864865 , 0.978114478114 , 0.971571906355 , 0.991582491582 , 0.986599664992 , 0.984848484848 , 0.988175675676 , 0.981481481481 , 0.97491638796 , 0.993265993266 , 0.988274706868 , 0.976351351351 , 0.966555183946 , 0.981418918919 , 0.973199329983 , 0.984949832776 , 0.986599664992 , 
45 , 0.983022071307 , 0.984693877551 , 0.984719864177 , 0.986394557823 , 0.988115449915 , 0.988115449915 , 0.986417657046 , 0.989778534923 , 0.991511035654 , 0.986486486486 , 0.989813242784 , 0.984797297297 , 0.998299319728 , 0.998299319728 , 0.996598639456 , 0.994906621392 , 0.988095238095 , 0.989778534923 , 0.981292517007 , 0.974662162162 , 0.994897959184 , 0.988175675676 , 0.998299319728 , 0.996604414261 , 0.989795918367 , 0.991482112436 , 0.981292517007 , 0.974662162162 , 0.994897959184 , 0.988175675676 , 0.988115449915 , 0.991482112436 , 0.983022071307 , 0.978040540541 , 0.994906621392 , 0.989864864865 , 0.981260647359 , 0.972972972973 , 0.986371379898 , 0.978040540541 , 0.986486486486 , 0.986486486486 , 
50 , 0.988034188034 , 0.988034188034 , 0.988034188034 , 0.989726027397 , 0.989743589744 , 0.991438356164 , 0.986324786325 , 0.991408934708 , 0.991452991453 , 0.988074957411 , 0.993162393162 , 0.988095238095 , 0.998290598291 , 1.0 , 0.996581196581 , 0.998287671233 , 0.989743589744 , 0.994845360825 , 0.982905982906 , 0.979557069847 , 0.994871794872 , 0.989795918367 , 0.998287671233 , 0.998287671233 , 0.991438356164 , 0.994845360825 , 0.982876712329 , 0.977853492334 , 0.994863013699 , 0.988095238095 , 0.989726027397 , 0.993127147766 , 0.984589041096 , 0.979557069847 , 0.996575342466 , 0.989795918367 , 0.982817869416 , 0.974446337308 , 0.989690721649 , 0.979591836735 , 0.989778534923 , 0.988095238095 , 
55 , 0.989690721649 , 0.989690721649 , 0.989690721649 , 0.991394148021 , 0.991408934708 , 0.993115318417 , 0.987972508591 , 0.991379310345 , 0.991408934708 , 0.989708404803 , 0.993127147766 , 0.989726027397 , 0.998281786942 , 1.0 , 0.996563573883 , 0.998278829604 , 0.991408934708 , 0.994827586207 , 0.984536082474 , 0.982847341338 , 0.994845360825 , 0.991438356164 , 0.998278829604 , 0.998278829604 , 0.993115318417 , 0.994827586207 , 0.984509466437 , 0.981132075472 , 0.994836488812 , 0.989726027397 , 0.991394148021 , 0.993103448276 , 0.986230636833 , 0.982847341338 , 0.996557659208 , 0.991438356164 , 0.98275862069 , 0.977701543739 , 0.989655172414 , 0.982876712329 , 0.991423670669 , 0.989726027397 , 
60 , 0.993067590988 , 0.989637305699 , 0.993067590988 , 0.991349480969 , 0.994800693241 , 0.993079584775 , 0.991334488735 , 0.991334488735 , 0.994800693241 , 0.991364421416 , 0.994800693241 , 0.989655172414 , 0.998272884283 , 1.0 , 0.996545768566 , 0.998269896194 , 0.991364421416 , 0.994800693241 , 0.987910189983 , 0.987910189983 , 0.99481865285 , 0.993103448276 , 0.998269896194 , 0.998269896194 , 0.993079584775 , 0.994800693241 , 0.987889273356 , 0.986183074266 , 0.994809688581 , 0.991379310345 , 0.991349480969 , 0.993067590988 , 0.989619377163 , 0.987910189983 , 0.996539792388 , 0.993103448276 , 0.986135181976 , 0.982728842832 , 0.989601386482 , 0.984482758621 , 0.99481865285 , 0.993103448276 , 
65 , 0.994782608696 , 0.989619377163 , 0.994782608696 , 0.991334488735 , 0.99652173913 , 0.993067590988 , 0.993043478261 , 0.991319444444 , 0.994782608696 , 0.991334488735 , 0.99652173913 , 0.989637305699 , 0.998269896194 , 1.0 , 0.996539792388 , 0.998266897747 , 0.993079584775 , 0.996527777778 , 0.987889273356 , 0.989601386482 , 0.994809688581 , 0.993091537133 , 0.998266897747 , 0.998266897747 , 0.994800693241 , 0.996527777778 , 0.987868284229 , 0.987868284229 , 0.994800693241 , 0.991364421416 , 0.993067590988 , 0.994791666667 , 0.989601386482 , 0.989601386482 , 0.996533795494 , 0.993091537133 , 0.986111111111 , 0.984402079723 , 0.991319444444 , 0.986183074266 , 0.996533795494 , 0.993091537133 , 
