sons , all+gloss vs freq / all+gloss , all+gloss vs freq / freq , all+gloss vs all+freq / all+gloss , all+gloss vs all+freq / all+freq , all+gloss vs all+gloss+freq / all+gloss , all+gloss vs all+gloss+freq / all+gloss+freq , all+gloss vs all / all+gloss , all+gloss vs all / all , all+gloss vs gloss / all+gloss , all+gloss vs gloss / gloss , all+gloss vs gloss+freq / all+gloss , all+gloss vs gloss+freq / gloss+freq , freq vs all+freq / freq , freq vs all+freq / all+freq , freq vs all+gloss+freq / freq , freq vs all+gloss+freq / all+gloss+freq , freq vs all / freq , freq vs all / all , freq vs gloss / freq , freq vs gloss / gloss , freq vs gloss+freq / freq , freq vs gloss+freq / gloss+freq , all+freq vs all+gloss+freq / all+freq , all+freq vs all+gloss+freq / all+gloss+freq , all+freq vs all / all+freq , all+freq vs all / all , all+freq vs gloss / all+freq , all+freq vs gloss / gloss , all+freq vs gloss+freq / all+freq , all+freq vs gloss+freq / gloss+freq , all+gloss+freq vs all / all+gloss+freq , all+gloss+freq vs all / all , all+gloss+freq vs gloss / all+gloss+freq , all+gloss+freq vs gloss / gloss , all+gloss+freq vs gloss+freq / all+gloss+freq , all+gloss+freq vs gloss+freq / gloss+freq , all vs gloss / all , all vs gloss / gloss , all vs gloss+freq / all , all vs gloss+freq / gloss+freq , gloss vs gloss+freq / gloss , gloss vs gloss+freq / gloss+freq , 
20 , 0.520884520885 , 0.718644067797 , 0.797297297297 , 0.807213930348 , 0.949631449631 , 0.942682926829 , 0.7542997543 , 0.7675 , 0.899262899263 , 0.857142857143 , 0.885749385749 , 0.865546218487 , 0.793220338983 , 0.582089552239 , 0.791525423729 , 0.569512195122 , 0.598305084746 , 0.44125 , 0.725423728814 , 0.501170960187 , 0.823728813559 , 0.583433373349 , 0.851990049751 , 0.835365853659 , 0.845771144279 , 0.85 , 0.721393034826 , 0.679156908665 , 0.783582089552 , 0.756302521008 , 0.74512195122 , 0.76375 , 0.871951219512 , 0.837236533958 , 0.923170731707 , 0.908763505402 , 0.665 , 0.622950819672 , 0.685 , 0.657863145258 , 0.90281030445 , 0.925570228091 , 
25 , 0.517291066282 , 0.726720647773 , 0.798270893372 , 0.809941520468 , 0.952449567723 , 0.946991404011 , 0.763688760807 , 0.761494252874 , 0.894812680115 , 0.867318435754 , 0.886167146974 , 0.878571428571 , 0.789473684211 , 0.570175438596 , 0.793522267206 , 0.561604584527 , 0.613360323887 , 0.435344827586 , 0.724696356275 , 0.5 , 0.823886639676 , 0.581428571429 , 0.849415204678 , 0.832378223496 , 0.862573099415 , 0.847701149425 , 0.714912280702 , 0.682960893855 , 0.779239766082 , 0.761428571429 , 0.756446991404 , 0.758620689655 , 0.868194842407 , 0.846368715084 , 0.921203438395 , 0.918571428571 , 0.656609195402 , 0.638268156425 , 0.679597701149 , 0.675714285714 , 0.903631284916 , 0.924285714286 , 
30 , 0.522508038585 , 0.72869955157 , 0.802250803859 , 0.810064935065 , 0.953376205788 , 0.950320512821 , 0.770096463023 , 0.762738853503 , 0.895498392283 , 0.878548895899 , 0.890675241158 , 0.8864 , 0.795964125561 , 0.576298701299 , 0.793721973094 , 0.567307692308 , 0.62331838565 , 0.442675159236 , 0.717488789238 , 0.504731861199 , 0.818385650224 , 0.584 , 0.845779220779 , 0.834935897436 , 0.868506493506 , 0.851910828025 , 0.714285714286 , 0.694006309148 , 0.779220779221 , 0.768 , 0.766025641026 , 0.761146496815 , 0.870192307692 , 0.856466876972 , 0.923076923077 , 0.9216 , 0.65923566879 , 0.652996845426 , 0.684713375796 , 0.688 , 0.910094637224 , 0.9232 , 
35 , 0.532374100719 , 0.732673267327 , 0.798561151079 , 0.820702402957 , 0.955035971223 , 0.956756756757 , 0.767985611511 , 0.769369369369 , 0.897482014388 , 0.883185840708 , 0.895683453237 , 0.89247311828 , 0.784653465347 , 0.58595194085 , 0.787128712871 , 0.572972972973 , 0.626237623762 , 0.455855855856 , 0.720297029703 , 0.515044247788 , 0.814356435644 , 0.589605734767 , 0.853974121996 , 0.832432432432 , 0.874306839187 , 0.852252252252 , 0.726432532348 , 0.695575221239 , 0.789279112754 , 0.76523297491 , 0.763963963964 , 0.763963963964 , 0.875675675676 , 0.86017699115 , 0.927927927928 , 0.9229390681 , 0.666666666667 , 0.654867256637 , 0.691891891892 , 0.688172043011 , 0.915044247788 , 0.926523297491 , 
40 , 0.53187250996 , 0.735537190083 , 0.810756972112 , 0.817269076305 , 0.958167330677 , 0.958167330677 , 0.776892430279 , 0.766208251473 , 0.892430278884 , 0.88188976378 , 0.890438247012 , 0.895791583166 , 0.793388429752 , 0.578313253012 , 0.790633608815 , 0.57171314741 , 0.633608815427 , 0.451866404715 , 0.727272727273 , 0.51968503937 , 0.820936639118 , 0.597194388778 , 0.849397590361 , 0.842629482072 , 0.875502008032 , 0.856581532417 , 0.720883534137 , 0.706692913386 , 0.781124497992 , 0.779559118236 , 0.770916334661 , 0.760314341847 , 0.872509960159 , 0.862204724409 , 0.922310756972 , 0.927855711423 , 0.660117878193 , 0.661417322835 , 0.683693516699 , 0.697394789579 , 0.909448818898 , 0.925851703407 , 
45 , 0.533333333333 , 0.746987951807 , 0.808602150538 , 0.828193832599 , 0.961290322581 , 0.959227467811 , 0.774193548387 , 0.777537796976 , 0.890322580645 , 0.888412017167 , 0.890322580645 , 0.9 , 0.798192771084 , 0.583700440529 , 0.801204819277 , 0.570815450644 , 0.632530120482 , 0.453563714903 , 0.731927710843 , 0.521459227468 , 0.831325301205 , 0.6 , 0.863436123348 , 0.841201716738 , 0.872246696035 , 0.855291576674 , 0.729074889868 , 0.710300429185 , 0.79295154185 , 0.782608695652 , 0.766094420601 , 0.771058315335 , 0.869098712446 , 0.869098712446 , 0.920600858369 , 0.932608695652 , 0.667386609071 , 0.663090128755 , 0.691144708423 , 0.695652173913 , 0.912017167382 , 0.923913043478 , 
50 , 0.547563805104 , 0.749206349206 , 0.814385150812 , 0.827830188679 , 0.962877030162 , 0.960648148148 , 0.781902552204 , 0.783720930233 , 0.886310904872 , 0.890442890443 , 0.886310904872 , 0.903073286052 , 0.803174603175 , 0.596698113208 , 0.8 , 0.583333333333 , 0.64126984127 , 0.46976744186 , 0.733333333333 , 0.538461538462 , 0.825396825397 , 0.614657210402 , 0.86320754717 , 0.847222222222 , 0.875 , 0.862790697674 , 0.72641509434 , 0.717948717949 , 0.790094339623 , 0.791962174941 , 0.770833333333 , 0.774418604651 , 0.865740740741 , 0.871794871795 , 0.916666666667 , 0.936170212766 , 0.66976744186 , 0.671328671329 , 0.690697674419 , 0.702127659574 , 0.913752913753 , 0.926713947991 , 
55 , 0.549019607843 , 0.761904761905 , 0.81862745098 , 0.835 , 0.960784313725 , 0.963144963145 , 0.78431372549 , 0.792079207921 , 0.887254901961 , 0.89603960396 , 0.892156862745 , 0.907730673317 , 0.809523809524 , 0.595 , 0.809523809524 , 0.584766584767 , 0.656462585034 , 0.477722772277 , 0.744897959184 , 0.542079207921 , 0.833333333333 , 0.610972568579 , 0.8675 , 0.85257985258 , 0.8825 , 0.873762376238 , 0.735 , 0.727722772277 , 0.7975 , 0.795511221945 , 0.776412776413 , 0.782178217822 , 0.869778869779 , 0.876237623762 , 0.923832923833 , 0.937655860349 , 0.678217821782 , 0.678217821782 , 0.705445544554 , 0.71072319202 , 0.923267326733 , 0.930174563591 , 
60 , 0.553571428571 , 0.772241992883 , 0.811224489796 , 0.834645669291 , 0.959183673469 , 0.961636828645 , 0.780612244898 , 0.796875 , 0.895408163265 , 0.906976744186 , 0.900510204082 , 0.916883116883 , 0.811387900356 , 0.59842519685 , 0.82206405694 , 0.590792838875 , 0.665480427046 , 0.486979166667 , 0.750889679715 , 0.545219638243 , 0.839857651246 , 0.612987012987 , 0.868766404199 , 0.846547314578 , 0.887139107612 , 0.880208333333 , 0.742782152231 , 0.731266149871 , 0.805774278215 , 0.797402597403 , 0.772378516624 , 0.786458333333 , 0.877237851662 , 0.886304909561 , 0.933503836317 , 0.948051948052 , 0.690104166667 , 0.684754521964 , 0.71875 , 0.716883116883 , 0.927648578811 , 0.932467532468 , 
65 , 0.554347826087 , 0.769811320755 , 0.823369565217 , 0.830136986301 , 0.961956521739 , 0.959349593496 , 0.785326086957 , 0.793956043956 , 0.891304347826 , 0.903581267218 , 0.896739130435 , 0.911602209945 , 0.822641509434 , 0.597260273973 , 0.822641509434 , 0.590785907859 , 0.667924528302 , 0.486263736264 , 0.750943396226 , 0.548209366391 , 0.841509433962 , 0.616022099448 , 0.865753424658 , 0.856368563686 , 0.882191780822 , 0.884615384615 , 0.73698630137 , 0.741046831956 , 0.8 , 0.806629834254 , 0.772357723577 , 0.782967032967 , 0.872628726287 , 0.887052341598 , 0.929539295393 , 0.947513812155 , 0.684065934066 , 0.685950413223 , 0.711538461538 , 0.71546961326 , 0.928374655647 , 0.930939226519 , 
