sons , all+gloss vs freq , all+gloss vs all+freq , all+gloss vs all+gloss+freq , all+gloss vs all , all+gloss vs gloss , all+gloss vs gloss+freq , freq vs all+freq , freq vs all+gloss+freq , freq vs all , freq vs gloss , freq vs gloss+freq , all+freq vs all+gloss+freq , all+freq vs all , all+freq vs gloss , all+freq vs gloss+freq , all+gloss+freq vs all , all+gloss+freq vs gloss , all+gloss+freq vs gloss+freq , all vs gloss , all vs gloss+freq , gloss vs gloss+freq , 
20 , 0.812304786809 , 0.871649596862 , 0.907823055132 , 0.870196847534 , 0.906588218203 , 0.892133362388 , 0.900849858357 , 0.884869615748 , 0.826687005157 , 0.809980387884 , 0.882690491756 , 0.958233456817 , 0.910583278855 , 0.813757536137 , 0.915232076705 , 0.900268758626 , 0.850947918937 , 0.950606522844 , 0.793128495678 , 0.853127042929 , 0.88160092976 , 
25 , 0.82683228009 , 0.878985980969 , 0.908767342195 , 0.875499382582 , 0.911019103654 , 0.897799084768 , 0.909929541658 , 0.899397109029 , 0.839471199245 , 0.82784920462 , 0.897581172369 , 0.964698191327 , 0.916902738432 , 0.826541730224 , 0.926127696666 , 0.906515580737 , 0.858865402775 , 0.955327958161 , 0.804532577904 , 0.863732113024 , 0.885305440546 , 
30 , 0.844265272027 , 0.886903464807 , 0.914142514709 , 0.884070603617 , 0.919227137357 , 0.905716568606 , 0.923004285611 , 0.912762402847 , 0.852836493063 , 0.851238468802 , 0.911745478318 , 0.967240502651 , 0.918137575361 , 0.846517033486 , 0.931648144113 , 0.90927580446 , 0.876298394712 , 0.958306094283 , 0.821093920244 , 0.86947047287 , 0.900050846226 , 
35 , 0.864313212755 , 0.90179414542 , 0.918500762693 , 0.89271446212 , 0.920244061887 , 0.914287789642 , 0.93695067916 , 0.931212319314 , 0.865475412218 , 0.869397835404 , 0.925256047069 , 0.980024696739 , 0.922713735745 , 0.864095300356 , 0.946320912327 , 0.920098786954 , 0.883489503886 , 0.962519067335 , 0.832425365003 , 0.883344228953 , 0.908839979662 , 
40 , 0.878114331372 , 0.910728553788 , 0.917992300429 , 0.902738432483 , 0.924892859737 , 0.91392460231 , 0.944577613133 , 0.947701024188 , 0.881746204692 , 0.889954238396 , 0.94159947701 , 0.989467567371 , 0.931938693978 , 0.880293455364 , 0.955763782959 , 0.925401322002 , 0.890390063195 , 0.962664342268 , 0.845718021355 , 0.888646764001 , 0.915595264037 , 
45 , 0.883634778819 , 0.915813176436 , 0.918863950025 , 0.909856904191 , 0.929469020121 , 0.916612188567 , 0.95474685843 , 0.953512021501 , 0.893586111716 , 0.895547323309 , 0.945667175129 , 0.994116365221 , 0.934916830101 , 0.89068061306 , 0.964625553861 , 0.932737706109 , 0.896128423041 , 0.966877315319 , 0.860390789569 , 0.900196121159 , 0.917120650832 , 
50 , 0.892205999855 , 0.926999346263 , 0.928234183192 , 0.916975375899 , 0.933754630638 , 0.924093847607 , 0.954383671098 , 0.954964770829 , 0.902375245151 , 0.904917556476 , 0.948645311252 , 0.995932301881 , 0.946102999927 , 0.894021936515 , 0.961284230406 , 0.942107939275 , 0.898089634634 , 0.965351928525 , 0.868235635941 , 0.907750417665 , 0.923803297741 , 
55 , 0.898234909566 , 0.931284956781 , 0.93251979371 , 0.91857340016 , 0.937604416358 , 0.924674947338 , 0.956199607758 , 0.956780707489 , 0.904990193942 , 0.914796251907 , 0.954165758698 , 0.995932301881 , 0.947047286991 , 0.902157332752 , 0.964988741193 , 0.943052226338 , 0.906225030871 , 0.969056439311 , 0.873683445921 , 0.912399215515 , 0.928234183192 , 
60 , 0.908767342195 , 0.935497929832 , 0.936732766761 , 0.922641098278 , 0.943851238469 , 0.929251107721 , 0.962519067335 , 0.963100167066 , 0.911309653519 , 0.921043074018 , 0.960122030944 , 0.995932301881 , 0.947047286991 , 0.91109174112 , 0.96564247839 , 0.943052226338 , 0.915159439239 , 0.969710176509 , 0.882472579356 , 0.91290767778 , 0.936514854362 , 
65 , 0.909348441926 , 0.935497929832 , 0.936732766761 , 0.927217258662 , 0.944650250599 , 0.929323745188 , 0.963100167066 , 0.963681266797 , 0.915304714172 , 0.921551536282 , 0.960630493208 , 0.995932301881 , 0.951623447374 , 0.911164378586 , 0.965715115857 , 0.947628386722 , 0.915232076705 , 0.969782813975 , 0.887702476938 , 0.917411200697 , 0.936514854362 , 
