synset	word	csco
02909168-a	diferencial	99.0
07438792-n	polinización_cruzada	49.0
05535484-n	intestino_grueso	99.0
13295360-n	tontina	99.0
07181043-n	confrontación	99.0
07181043-n	conflicto	99.0
07181043-n	pugna	99.0
07181043-n	encuentro	99.0
07181043-n	encontronazo	49.0
07181043-n	enfrentamiento	99.0
07181043-n	hora_de_la_verdad	35.0
07181043-n	cara_a_cara	99.0
00338013-a	dudoso	99.0
10575241-n	seductor	99.0
04416530-n	tetraciclina	79.0
02447370-v	dar_derecho_a	49.0
05567381-n	índice	99.0
05567381-n	dedo_índice	99.0
10733891-n	locutor_de_tv	99.0
10733891-n	presentador_de_televisión	49.0
13400472-n	crédito_a_plazos	99.0
13400472-n	préstamo_a_plazos	99.0
02723951-v	remontarse	49.0
01164250-a	disonante	49.0
01164250-a	discorde	49.0
01164250-a	inarmónico	59.0
01164250-a	discordante	49.0
07168623-n	orden	99.0
06341609-n	rabino	99.0
07026646-n	ópera_cómica	49.0
07026646-n	ópera_bufa	49.0
04198453-n	faldón	49.0
00359260-a	agotado	49.0
15199592-n	fiesta_nacional	49.0
05408908-n	gastrina	99.0
06758835-n	exageración	49.0
04567222-n	mapa_meteorológico	49.0
11615259-n	pinus_contorta_sierra	99.0
11615259-n	pino_contorta_murrayana	99.0
11615259-n	pino_contorta_sierra	99.0
05449196-n	osteocito	99.0
02123812-a	práctico	99.0
02123812-a	servible	49.0
02123812-a	duradero	49.0
15165637-n	hora_de_comer	49.0
01725933-n	suborden_Nothosauria	99.0
01725933-n	Nothosauria	99.0
00632949-a	inexacto	49.0
00632949-a	erróneo	99.0
13451348-n	condensación	49.0
00963896-n	motín	79.0
00963896-n	amotinamiento	59.0
01224001-v	asir	99.0
01224001-v	agarrar	99.0
04238617-n	proyector_de_diapositivas	99.0
09540329-n	mensajero_divino	99.0
02331175-v	construir_un_desembarcadero	99.0
02661765-n	genus_etropus	49.0
02661765-n	etropus	49.0
00250143-n	flujo_de_trabajo	99.0
10368113-n	nuncio	99.0
10368113-n	nuncio_apostólico	99.0
02498507-a	fatal	99.0
02420232-v	cultivar	99.0
02420232-v	labrar	99.0
10136615-n	orfebre	49.0
07790601-n	platija	59.0
07790601-n	solla	49.0
07790601-n	rodaballo	49.0
07006119-n	dramaturgia	99.0
07006119-n	teatro	99.0
07006119-n	arte_dramático	99.0
00148653-n	soldadura	99.0
00581241-n	volumen_de_trabajo	49.0
00581241-n	trabajo	99.0
04172107-n	chalet_adosado	49.0
04172107-n	dúplex	49.0
04172107-n	casa_semiseparada	49.0
12805899-n	ribes_sanguineum	99.0
12805899-n	grosellero_de_invierno	99.0
02428653-n	pseudoryx	59.0
02428653-n	genus_pseudoryx	49.0
00596511-a	seguido	99.0
00596511-a	consecutivo	99.0
01093965-n	arbitraje	99.0
13882804-n	endecágono	99.0
13882804-n	undecágono	59.0
00266806-n	solución	99.0
00266806-n	enmienda	99.0
00266806-n	reparación	99.0
00266806-n	remiendo	99.0
00266806-n	compostura	49.0
00266806-n	instalación	99.0
00266806-n	arreglo	99.0
00266806-n	reparo	99.0
15012999-n	sal_biliar	49.0
01950798-v	expedir	99.0
01950798-v	transportar	99.0
01950798-v	mandar	99.0
01950798-v	embarcar	99.0
01950798-v	enviar	99.0
05705355-n	estudio	99.0
00325975-n	alpinismo	99.0
02603540-a	adenoideo	99.0
02534307-v	eximir	99.0
02534307-v	dispensar	99.0
02534307-v	perdonar	99.0
00985909-a	sin_manías	99.0
00985909-a	sin_problemas	99.0
00755447-v	requerir	99.0
05660631-n	método_científico	59.0
10275848-n	ludita	99.0
01200440-v	drogarse	49.0
01200440-v	drogar	49.0
02358762-a	pasmado	49.0
02358762-a	boquiabierto	49.0
02358762-a	patidifuso	49.0
02358762-a	patitieso	49.0
01281184-v	rizar	49.0
03977266-n	hacha_de_petos	99.0
09557387-n	Atenea	69.0
09557387-n	Palas_Atenea	49.0
02988402-a	nacional	99.0
00403911-n	quemadura	49.0
10773126-n	llorón	49.0
10773126-n	llorica	49.0
08774912-n	Stuttgart	69.0
02120387-n	género_Urocyon	99.0
02120387-n	urocyon	49.0
02120387-n	Urocyon	99.0
02120387-n	genus_urocyon	49.0
08950407-n	La_Haya	99.0
08950407-n	capital_de_los_Países_Bajos	35.0
01412721-a	inverosímil	49.0
13251154-n	bártulos	49.0
13251154-n	trastos	49.0
13386465-n	pronto_pago	49.0
13190218-n	familia_dicsoniáceas	99.0
13190218-n	dicksoniáceas	99.0
05035712-n	choque	99.0
13103660-n	lignosa	49.0
00416301-a	alto_secreto	49.0
02130308-n	acinonyx_jubatus	99.0
02130308-n	guepardo	79.0
11725015-n	anemona	49.0
11725015-n	anémona	59.0
11725015-n	anemone	59.0
15076931-n	elemento_traza	49.0
15181977-n	noche_de_valpurguis	99.0
15181977-n	noche_de_walpurguis	99.0
09818343-n	astrónomo	79.0
01695143-v	recopiar	49.0
09308242-n	hiperón	69.0
05472205-n	proceso_coronoide_de_la_mandibula	35.0
05472205-n	proceso_coronoide_de_la_mandíbula	35.0
13100677-n	trepadora	99.0
13100677-n	planta_trepadora	49.0
13100677-n	enredadera	99.0
01429663-v	mestizar	49.0
08366753-n	sistema_económico	49.0
08366753-n	economía	99.0
02823750-n	jarra_de_cerveza	49.0
00955148-v	significar	99.0
00955148-v	querer_decir	49.0
02533282-v	controlar	99.0
02533282-v	examinar	99.0
02533282-v	verificar	99.0
02533282-v	comprobar	99.0
02533282-v	investigar	99.0
02533282-v	constatar	99.0
05043091-n	desamparo	59.0
05043091-n	indefensión	59.0
05043091-n	desabrigo	49.0
05043091-n	desprotección	49.0
04591713-n	botella_de_vino	99.0
02414043-n	karakul	49.0
02414043-n	caracul	49.0
01041968-n	súplica	49.0
01041968-n	suplicación	49.0
00070111-a	cosmético	49.0
06739782-n	denuncia	99.0
06739782-n	protesta	99.0
06739782-n	queja	99.0
01066163-n	demora	79.0
01066163-n	retraso	99.0
00236393-r	con_opacidad	99.0
08349548-n	almirantazgo	99.0
00273082-a	oscuro	99.0
02896294-n	taparrabo	49.0
02896294-n	taparrabos	99.0
00836705-v	tergiversar	59.0
00836705-v	falsificar	49.0
