synset	word	csco
12166793-n	lufa	2.3506
00101323-r	bastante	55.0
08336844-n	repertório	2.1262
06746580-n	anúncio	55.0
06746580-n	comunicação	55.0
02332086-v	acompanhar	55.0
13300828-n	retribuição	55.0
07161741-n	proposta	55.0
07995453-n	banco	55.0
00025728-r	por_todo_o_lado	55.0
14727153-n	transportador	55.0
14727153-n	portador	55.0
01044114-v	murmurar	55.0
01148398-n	reinstituição	55.0
04860065-n	covardia	55.0
04860065-n	cobardia	55.0
04730797-n	pobreza	55.0
00924825-n	fabrico	2.1133
00924825-n	fabricação	55.0
00924825-n	elaboração	55.0
02820432-n	leito	55.0
00104539-n	lançamento	55.0
01151753-v	apontar	55.0
13963192-n	vida	55.0
01472509-a	secundário	55.0
01949859-a	grosseiro	55.0
02099239-v	apanhar	55.0
05549061-n	ombro	2.3348
14325220-n	paixão	55.0
08424951-n	mercado	55.0
13480848-n	fogo	55.0
13480848-n	chama	55.0
13480848-n	lume	55.0
04809237-n	legalidade	55.0
02969010-n	carroça	55.0
02969010-n	carro	2.0491
00042641-v	fazer_a_manicure_de	55.0
04038109-n	circuito	55.0
01437254-v	enviar	55.0
01437254-v	remeter	55.0
01437254-v	transmitir	2.0091
00276862-a	sombrio	55.0
00902424-v	libertar	55.0
00902424-v	liberar	55.0
00902424-v	justificar	55.0
00902424-v	absolver	55.0
00476807-r	tradicionalmente	55.0
05111835-n	descenso	55.0
05111835-n	rebaixamento	55.0
05111835-n	queda	55.0
01155044-n	racismo	55.0
07544647-n	simpatia	55.0
07544647-n	afecto	55.0
07544647-n	coração	55.0
07544647-n	ternura	55.0
00716345-v	supor	2.0624
00716345-v	pressupor	55.0
04219424-n	seda	55.0
13456567-n	decadência	55.0
02501278-v	julgar	55.0
10588965-n	pastor	55.0
02356567-v	recordar	55.0
02782329-n	balão	55.0
01532434-v	lavar	55.0
01532434-v	limpar	55.0
05822746-n	consideração	55.0
05822746-n	circunstância	55.0
05822746-n	condição	55.0
10673669-n	suicida	55.0
05611302-n	cabeça	55.0
05611302-n	mente	2.3559
05611302-n	cérebro	55.0
00712877-a	urgente	55.0
02295550-v	partilhar	2.0806
02295550-v	compartilhar	55.0
13244109-n	pertence	55.0
13244109-n	propriedade	55.0
14324795-n	parestesia	55.0
01981279-v	derrubar	55.0
00612042-v	comemorar	55.0
00222376-n	queda	55.0
02579447-v	perverter	55.0
02579447-v	corromper	55.0
02579447-v	aviltar	2.297
02579447-v	subverter	2.2159
02579447-v	profanar	55.0
00115859-r	politicamente	55.0
01318381-n	cabeça	55.0
00114932-r	perifericamente	55.0
00430625-v	reduzir	55.0
07659560-n	lombo	55.0
06428216-n	corte	2.1329
06428216-n	supressão	2.307
02413037-a	plano	55.0
00859949-a	experimental	55.0
02073113-a	diferente	55.0
02739480-v	encontrar	55.0
02739480-v	receber	55.0
00079398-n	comércio	55.0
00115036-n	transporte	55.0
00064095-v	aliviar	55.0
03570372-n	infra-estruturas	2.2968
07810907-n	condimento	55.0
07810907-n	tempero	2.0068
04900947-n	modéstia	2.3618
02303077-a	instável	55.0
02303077-a	irregular	55.0
07946851-n	inimigo	55.0
10615179-n	pelota	55.0
00010914-r	só	55.0
01100877-n	cooperativa	55.0
08124971-n	cia	55.0
00145147-v	arredondar	55.0
02410855-v	trabalhar	55.0
05872982-n	lei	55.0
03308297-n	olho	55.0
00915605-v	rugir	55.0
01813499-v	alegrar	55.0
01813499-v	agradar	55.0
01813499-v	gostar	55.0
01721691-a	mortal	55.0
06409448-n	monografia	55.0
15073147-n	citidina	55.0
04403638-n	telescópio	55.0
01193886-n	absolvição	55.0
01962819-a	insanável	55.0
01962819-a	irreparável	2.3338
01135371-v	desencadear	2.2372
01398443-v	flagelar	2.3246
06643763-n	indício	55.0
06643763-n	pista	55.0
03239399-n	galeria	55.0
00049789-n	entrada	55.0
00049789-n	acesso	55.0
00155487-n	posição	55.0
00155487-n	localização	55.0
14361415-n	mioclonia	55.0
04813066-n	delicadeza	55.0
04733118-n	ponto	55.0
04733118-n	aspecto	55.0
04733118-n	matiz	55.0
03827107-n	cliente	55.0
03827107-n	hóspede	2.0467
06513624-n	memorial	2.2061
13900422-n	coluna	55.0
05148186-n	aridez	55.0
00093731-r	focalmente	55.0
02798574-n	base	55.0
09985075-n	cliente	55.0
02071420-a	análogo	2.3007
02071420-a	semelhante	55.0
02071420-a	similar	55.0
04109335-n	rosário	55.0
10309896-n	comerciante	55.0
00168910-a	atraente	55.0
00168910-a	atrativo	55.0
02955247-n	condensador	55.0
05137165-n	altura	55.0
00804139-v	obedecer	55.0
05031012-n	resistência	55.0
02443049-v	vigiar	2.0177
02443049-v	policiar	55.0
02443049-v	controlar	55.0
02858707-a	pessoal	55.0
01563494-a	móvel	55.0
13715755-n	peso	55.0
02676496-v	concentrar	55.0
02676496-v	centrar	2.1008
13571763-n	urbanização	55.0
00592880-a	perene	55.0
02385102-a	alto	55.0
10271677-n	senhor	55.0
10271677-n	nobre	55.0
00038262-n	curso	55.0
00728225-a	autónomo	55.0
13719683-n	grão	55.0
07315790-n	fome	55.0
01192510-v	gozar	2.3375
04177820-n	cadeira	55.0
07628870-n	bolo	55.0
06780678-n	caricatura	55.0
04521699-n	variação	2.2565
04450994-n	língua	55.0
00098346-v	bota	55.0
00478682-v	extinguir	2.1367
00478682-v	apagar	2.0537
10433452-n	piloto	55.0
13994148-n	independência	55.0
14023236-n	hipersónia	55.0
00323426-a	propício	55.0
00323426-a	susceptível	55.0
01348835-a	interior	55.0
01348835-a	íntimo	55.0
01348835-a	interno	55.0
05520699-n	placenta	2.3734
02553017-a	seco	55.0
00810729-v	escapar	55.0
01356750-v	aderir	55.0
01356750-v	atar	55.0
01356750-v	vincular	55.0
02420232-v	lavrar	55.0
14635722-n	cobre	55.0
05839024-n	tipo	55.0
05839024-n	classe	55.0
05839024-n	forma	55.0
05839024-n	espécie	2.0642
01401224-a	legal	55.0
01401224-a	legítimo	55.0
01401224-a	lícito	55.0
03823540-n	griffin	55.0
03823540-n	nick	55.0
08407619-n	exposição	55.0
02358655-v	tocar	55.0
06660520-n	embargo	55.0
14802450-n	aço	55.0
00935608-n	decantação	55.0
05136150-n	largura	55.0
14460565-n	integridade	55.0
14460565-n	unidade	55.0
14460565-n	totalidade	55.0
07440979-n	revolução	55.0
07440979-n	rotação	2.1106
07254836-n	renúncia	55.0
00022131-r	tanto	55.0
13546169-n	racionalização	55.0
02214736-a	solitário	2.3698
01081456-n	aliança	55.0
02076817-a	instável	2.3186
08929922-n	frança	55.0
03007130-n	capela	55.0
13551396-n	reabsorção	2.0155
13551396-n	recaptação	55.0
00753685-n	fraude	55.0
08585657-n	horizonte	55.0
14944455-n	lisozima	2.0134
01989175-a	irresistível	55.0
13679855-n	florim	55.0
06261744-n	multimídia	55.0
06261744-n	multimédia	55.0
01338247-v	coroar	55.0
07203126-n	afirmação	55.0
07092158-n	gênero	55.0
07092158-n	género	2.3136
10194231-n	ex	2.153
00952867-a	interior	55.0
00952867-a	interno	55.0
00066636-n	falhanço	55.0
00066636-n	fracasso	55.0
02508078-v	envergonhar	55.0
07502980-n	desprezo	55.0
01431112-a	absurdo	55.0
02807163-a	simbólico	55.0
13435152-n	associação	55.0
13377268-n	letra	55.0
02681639-v	deixar	55.0
04314914-n	degrau	55.0
02119213-a	grave	55.0
02119213-a	solene	55.0
02119213-a	formal	55.0
02670890-v	servir	55.0
02670890-v	exercer	55.0
05564590-n	pata	55.0
05564590-n	mão	55.0
02649712-v	ocupar	55.0
08062623-n	editor	55.0
08062623-n	editorial	55.0
04118776-n	regra	55.0
00042479-v	fazer_a_manicure_de	55.0
09964064-n	sócio	55.0
02066304-v	partir	55.0
02066304-v	sair	2.3152
01569965-a	natural	55.0
01055360-n	estadia	55.0
01055360-n	visita	55.0
00178909-r	amplamente	2.3199
13959069-n	existência	55.0
10770059-n	vigilante	55.0
05870615-n	híbrido	55.0
00749376-v	indicar	55.0
01472225-a	menor	2.2321
14204950-n	patologia	55.0
00886456-n	teatro	55.0
00424224-v	irromper	55.0
08366202-n	socialismo	55.0
07020895-n	música	55.0
02931148-n	cabina	55.0
02931148-n	cabine	55.0
01042242-n	missa	55.0
06771159-n	trato	55.0
06771159-n	pacto	55.0
03179318-n	plano	2.3354
03179318-n	desenho	55.0
00750054-a	suave	55.0
02720354-v	seguir	55.0
05179567-n	privilégio	55.0
00054327-r	no_momento	55.0
00716531-v	supor	2.0624
00716531-v	pressupor	55.0
01705257-v	citar	2.2148
01705257-v	nomear	55.0
00997020-v	assinar	55.0
00997020-v	firmar	55.0
06807198-n	número	55.0
06807198-n	cifra	55.0
01643464-v	desenhar	55.0
00053952-r	presumivelmente	55.0
01972131-v	vistoriar	55.0
01972131-v	passar	55.0
09716047-n	italiano	55.0
13751829-n	bilião	55.0
06533648-n	constituição	55.0
11503968-n	resistividade	2.371
13583611-n	citotoxicidade	2.2191
06483454-n	posição	55.0
06483454-n	lugar	55.0
00088157-a	ondulado	55.0
02718309-v	partilhar	2.0806
02718309-v	compartilhar	55.0
10414612-n	pensionista	55.0
00644839-a	credível	55.0
11439690-n	nuvem	55.0
01970777-a	regular	55.0
13268146-n	prémio	55.0
00695024-a	invicto	55.0
03032811-n	círculo	55.0
14485673-n	tentativa	55.0
02330245-n	rato	55.0
13165815-n	tronco	55.0
00919813-a	nervoso	55.0
10193026-n	caçador	55.0
06748969-n	predição	55.0
06513366-n	instância	2.3524
06513366-n	petição	2.1249
06513366-n	pedido	55.0
00759944-v	rezar	2.3
02979285-a	orbital	55.0
00366393-r	pessoalmente	55.0
00066216-n	não_realização	55.0
00036780-v	esfregar	55.0
04263760-n	luz	55.0
13749894-n	setenta	55.0
05970311-n	sensacionalismo	55.0
05194043-n	domínio	55.0
05194043-n	influência	55.0
05697135-n	segurança	55.0
05697135-n	certeza	55.0
06016853-n	grupo	55.0
09265620-n	declínio	2.3612
09265620-n	inclinação	2.2093
09265620-n	queda	55.0
09265620-n	lua	2.0232
00105908-r	no_pior	55.0
05852125-n	particularidade	2.0018
05852125-n	peculiaridade	2.2706
00100989-a	alfabetizado	55.0
14067076-n	choque	55.0
08052413-n	império	55.0
00633410-a	recto	2.0997
00633410-a	certo	55.0
00633410-a	correto	55.0
09362469-n	boca	55.0
01327301-v	liquidar	2.2704
11747468-n	leguminosa	2.1475
03234306-n	desenho	55.0
05128519-n	superfície	55.0
05128519-n	zona	2.129
05128519-n	área	55.0
00459284-n	pinball	55.0
06390962-n	projecto	55.0
01023706-a	rígido	55.0
02712270-a	diastólica	2.2897
02592667-v	ensinar	55.0
02592667-v	instruir	55.0
07002599-n	perfil	55.0
00266798-v	ionizar	2.3448
10016103-n	discípulo	55.0
02123298-v	picar	2.0986
