synset	word	csco
07145508-n	biltzar	99.0
07145508-n	batzar	99.0
07145508-n	bilkura	99.0
07145508-n	bilera	99.0
03469832-n	artilleria	99.0
10708797-n	hezur_eta_azal	99.0
10708797-n	hezur_eta_larru	99.0
10708797-n	hezur_huts	99.0
07486922-n	irrika	99.0
07486922-n	grina	99.0
01016201-n	bilketa	99.0
00806049-v	eman	99.0
00806049-v	onartu	99.0
00806049-v	aitortu	99.0
02535716-v	aldendu	99.0
02666347-n	abako	99.0
01243809-v	eskuilatu	99.0
04247736-n	kantina	99.0
02313250-v	gabetu	99.0
02313250-v	debekatu	99.0
02313250-v	galarazi	99.0
02313250-v	kendu	99.0
02156546-v	desagertu	99.0
02156546-v	ezkutatu	99.0
80000341-n	neurohipofisiko_hormona	99.0
14785625-n	bromuro	99.0
15169421-n	ilunabar	99.0
15169421-n	arrats	99.0
15169421-n	iluntze	99.0
05574332-n	berna	99.0
05574332-n	zangosagar	99.0
05574332-n	aztal	99.0
05574332-n	zangar	99.0
07672914-n	margarina	99.0
06758584-n	egia_erdia	96.0
03843221-n	errefinategi	92.0
07972425-n	feudalismo	99.0
07084166-n	doinu	99.0
07084166-n	intonazio	99.0
05980256-n	ateismo	99.0
01268571-v	lubrifikatu	99.0
01268571-v	koipeztatu	99.0
06636806-n	formatu	99.0
03825080-n	oheko_arropa	99.0
03825080-n	ohe-jantzi	99.0
10478626-n	gerorako_uzten_duena	99.0
09799461-n	bidali	99.0
09799461-n	apostolu	99.0
07051851-n	sehaska-kanta	99.0
07051851-n	lo-kanta	99.0
02344060-v	ordaindu	99.0
02344060-v	aurretik_ordaindu	99.0
09217867-n	geruza	99.0
14361182-n	tortikoli	99.0
06606191-n	ñabardura	99.0
07639069-n	erroskila	99.0
05259823-n	ile-motots	99.0
07091587-n	laburdura	99.0
15221818-n	solstizio	99.0
10142290-n	handiki	99.0
05006898-n	sexualitate	99.0
05006898-n	sexu	99.0
11620912-n	izei	99.0
12638556-n	basaran	99.0
09233715-n	lurmutur	99.0
05323723-n	kanpo-belarri	99.0
08419354-n	eskuratzaile	99.0
08419354-n	erosle	99.0
08358332-n	kale-agerraldi	99.0
08358332-n	kontzentrazio	99.0
06733939-n	froga	99.0
13090594-n	bizar	99.0
06621771-n	kapitulu	99.0
10525617-n	jubilatu	99.0
10525617-n	erretiratu	99.0
07386194-n	hil-kanpai	99.0
00977336-v	aldarrikatu	99.0
00977336-v	promulgatu	99.0
07448121-n	urtebetetze-jai	49.0
10531109-n	factotum	99.0
04600912-n	lan-jantzi	99.0
80000757-n	aklimatazio	99.0
15225249-n	ikasturte	99.0
04952944-n	dirdira	99.0
04952944-n	distira	99.0
09031653-n	Suitza	99.0
13453428-n	higadura	99.0
11525779-n	haize-zurrunbilo	99.0
08789970-n	Tesalia	99.0
04767023-n	tapizgintza	62.0
10201366-n	inportatzaile	99.0
13587525-n	autoinduktantzia	99.0
13587525-n	autoindukzio	99.0
05649785-n	gardingadura	62.0
10092098-n	mendizain	99.0
10092098-n	basozain	99.0
02700867-v	eduki	99.0
02700867-v	eutsi	99.0
02700867-v	izan	99.0
10691148-n	klake-dantzari	99.0
01909978-v	irauli	99.0
01909978-v	uzkaili	99.0
03051041-n	esekitoki	99.0
15006118-n	latex	99.0
06764867-n	erreferentzia_gurutzatu	99.0
00194831-n	ohitze	99.0
04303497-n	grapagailu	99.0
06287859-n	anafora	99.0
06370522-n	saga	99.0
00253761-v	garatu	99.0
00253761-v	hazi	99.0
06529219-n	eskabide-orri	99.0
08247816-n	sesteto	99.0
08247816-n	seikote	99.0
14595543-n	estireno	99.0
00697589-v	erabaki	99.0
00697589-v	deliberatu	99.0
14455700-n	deusez	99.0
14455700-n	ezerez	99.0
07502829-n	gaitzespen	99.0
05593181-n	humero	99.0
05593181-n	besahezur	99.0
07289014-n	traba	99.0
