humanities	top	
history	humanities	
archaeology	humanities	
heraldry	humanities	
linguistics	humanities	
grammar	humanities	
literature	humanities	
philology	humanities	
philosophy	humanities	
psychology	humanities	
psychoanalysis	humanities	
art	humanities	
dance	humanities	
drawing	humanities	
graphic_arts	humanities	
philately	humanities	
painting	humanities	
music	humanities	
photography	humanities	
plastic_arts	humanities	
jewellery	humanities	
numismatics	humanities	
sculpture	humanities	
theatre	humanities	
cinema	humanities	
paranormal	humanities	
astrology	humanities	
occultism	humanities	
religion	humanities	
theology	humanities	
roman_catholic	humanities	
mythology	humanities	
free_time	top	
radio	free_time	
tv	free_time	
play	free_time	
betting	free_time	
card	free_time	
chess	free_time	
sport	free_time	
badminton	free_time	
baseball	free_time	
basketball	free_time	
cricket	free_time	
football	free_time	
golf	free_time	
rugby	free_time	
soccer	free_time	
table_tennis	free_time	
tennis	free_time	
volleyball	free_time	
cycling	free_time	
skating	free_time	
skiing	free_time	
hockey	free_time	
mountaineering	free_time	
rowing	free_time	
swimming	free_time	
sub	free_time	
diving	free_time	
racing	free_time	
athletics	free_time	
wrestling	free_time	
boxing	free_time	
fencing	free_time	
archery	free_time	
fishing	free_time	
hunting	free_time	
bowling	free_time	
applied_science	top	
agriculture	applied_science	
animal_husbandry	applied_science	
veterinary	applied_science	
food	applied_science	
gastronomy	applied_science	
home	applied_science	
architecture	applied_science	
town_planning	applied_science	
buildings	applied_science	
furniture	applied_science	
computer_science	applied_science	
engineering	applied_science	
mechanics	applied_science	
astronautics	applied_science	
electrotechnology	applied_science	
hydraulics	applied_science	
telecommunication	applied_science	
post	applied_science	
telegraphy	applied_science	
telephony	applied_science	
medicine	applied_science	
dentistry	applied_science	
pharmacy	applied_science	
psychiatry	applied_science	
radiology	applied_science	
surgery	applied_science	
pure_science	top	
astronomy	pure_science	
biology	pure_science	
biochemistry	pure_science	
anatomy	pure_science	
physiology	pure_science	
genetics	pure_science	
animals	pure_science	
entomology	pure_science	
plants	pure_science	
environment	pure_science	
chemistry	pure_science	
earth	pure_science	
geology	pure_science	
meteorology	pure_science	
oceanography	pure_science	
paleontology	pure_science	
geography	pure_science	
topography	pure_science	
mathematics	pure_science	
geometry	pure_science	
statistics	pure_science	
physics	pure_science	
acoustics	pure_science	
atomic_physic	pure_science	
electricity	pure_science	
electronics	pure_science	
gas	pure_science	
optics	pure_science	
social	top	
anthropology	social	
ethnology	social	
folklore	social	
health	social	
body_care	social	
military	social	
pedagogy	social	
school	social	
university	social	
publishing	social	
sociology	social	
artisanship	social	
commerce	social	
industry	social	
transport	social	
aviation	social	
vehicles	social	
nautical	social	
railway	social	
economy	social	
enterprise	social	
book_keeping	social	
finance	social	
banking	social	
money	social	
exchange	social	
insurance	social	
tax	social	
administration	social	
law	social	
politics	social	
diplomacy	social	
tourism	social	
fashion	social	
sexuality	social	
factotum	top	
number	factotum	
color	factotum	
time_period	factotum	
person	factotum	
quality	factotum	
metrology	factotum	
psychological_features	factotum	
