humanities	top	
history	humanities	
archaeology	history	
heraldry	history	
linguistics	humanities	
grammar	linguistics	
literature	humanities	
philology	literature	
philosophy	humanities	
psychology	humanities	
psychoanalysis	psychology	
art	humanities	
dance	art	
drawing	art	
graphic_arts	art	
philately	art	
painting	art	
music	art	
photography	art	
plastic_arts	art	
jewellery	art	
numismatics	art	
sculpture	art	
theatre	art	
cinema	art	
paranormal	humanities	
astrology	paranormal	
occultism	paranormal	
religion	humanities	
theology	religion	
roman_catholic	religion	
mythology	religion	
free_time	top	
radio	free_time	
tv	free_time	
play	free_time	
betting	play	
card	play	
chess	play	
sport	free_time	
badminton	sport	
baseball	sport	
basketball	sport	
cricket	sport	
football	sport	
golf	sport	
rugby	sport	
soccer	sport	
table_tennis	sport	
tennis	sport	
volleyball	sport	
cycling	sport	
skating	sport	
skiing	sport	
hockey	sport	
mountaineering	sport	
rowing	sport	
swimming	sport	
sub	sport	
diving	sport	
racing	sport	
athletics	sport	
wrestling	sport	
boxing	sport	
fencing	sport	
archery	sport	
fishing	sport	
hunting	sport	
bowling	sport	
applied_science	top	
agriculture	applied_science	
animal_husbandry	agriculture	
veterinary	agriculture	
food	applied_science	
gastronomy	food	
home	applied_science	
architecture	applied_science	
town_planning	architecture	
buildings	architecture	
furniture	architecture	
computer_science	applied_science	
engineering	applied_science	
mechanics	engineering	
astronautics	engineering	
electrotechnology	engineering	
hydraulics	engineering	
telecommunication	applied_science	
post	telecommunication	
telegraphy	telecommunication	
telephony	telecommunication	
medicine	applied_science	
dentistry	medicine	
pharmacy	medicine	
psychiatry	medicine	
radiology	medicine	
surgery	medicine	
pure_science	top	
astronomy	pure_science	
biology	pure_science	
biochemistry	biology	
anatomy	biology	
physiology	biology	
genetics	biology	
animals	pure_science	
entomology	animals	
plants	pure_science	
environment	pure_science	
chemistry	pure_science	
earth	pure_science	
geology	earth	
meteorology	earth	
oceanography	earth	
paleontology	earth	
geography	earth	
topography	earth	
mathematics	pure_science	
geometry	mathematics	
statistics	mathematics	
physics	pure_science	
acoustics	physics	
atomic_physic	physics	
electricity	physics	
electronics	physics	
gas	physics	
optics	physics	
social_science	top	
anthropology	social_science	
ethnology	anthropology	
folklore	ethnology	
health	social_science	
body_care	health	
military	social_science	
pedagogy	social_science	
school	pedagogy	
university	pedagogy	
publishing	social_science	
sociology	social_science
artisanship	social_science
commerce	social_science	
industry	social_science	
transport	social_science
aviation	transport	
vehicles	transport	
nautical	transport	
railway	transport	
economy	social_science	
enterprise	economy	
book_keeping	economy	
finance	economy	
banking	economy	
money	economy	
exchange	economy	
insurance	economy	
tax	economy	
administration	social_science	
law	social_science	
politics	social_science	
diplomacy	politics	
tourism	social_science	
fashion	social_science	
sexuality	social_science	
factotum	top	
number	factotum	
color	factotum	
time_period	factotum	
person	factotum	
quality	factotum	
metrology	factotum	
psychological_features	factotum	
