00011757-a abstraktu 0.90
00021766-a doi 0.90
00024996-a beste 0.90
00065791-a abenturazale 0.90
00102930-a enigmatiko 0.90
00148078-a azeri 0.90
00151855-a mutu 0.90
00210848-a soil 0.90
00210848-a burusoil 0.90
00220082-a polit 0.90
00260780-a burges 0.90
00283972-a mate 0.90
00315109-a omniboro 0.90
00315109-a orojale 0.90
00370869-a urdin 0.90
00372111-a marroi 0.90
00375969-a berde 0.90
00375969-a orlegi 0.90
00378892-a laranja 0.90
00389310-a gris 0.90
00392812-a beltz 0.90
00393105-a zuri 0.90
00395626-a gorri 0.90
00405879-a zurbil 0.90
00417413-a garbi 0.90
00438909-a azeri 0.90
00457998-a biluzi 0.90
00587890-a ezkor 0.90
00631391-a zuzen 0.90
00631391-a ongi 0.90
00691696-a azaleko 0.90
00749230-a erraz 0.90
00797299-a mozkor 0.90
00818008-a hasiberri 0.90
00900071-a misteriotsu 0.90
00900071-a misteriozko 0.90
00910101-a lau 0.90
00910101-a laun 0.90
00910101-a ordeka 0.90
00954233-a begibakar 0.90
00976508-a azkar 0.90
01001689-a ugalkor 0.90
01001689-a emankor 0.90
01002664-a antzu 0.90
01010862-a lehenengo 0.90
01016436-a bigarren 0.90
01059711-a tinko 0.90
01059711-a irmo 0.90
01059711-a finko 0.90
01080297-a emankor 0.90
01111016-a eskuzabal 0.90
01111016-a emankor 0.90
01131043-a gaizto 0.90
01133017-a txarro 0.90
01222360-a zintzo 0.90
01246388-a etsai 0.90
01251128-a hotz 0.90
01361863-a goibel 0.90
01366718-a alai 0.90
01391351-a txiki 0.90
01493173-a zori 0.90
01545427-a elebakar 0.90
01545571-a eleanitz 0.90
01545777-a elebidun 0.90
01568375-a nazioarteko 0.90
01568375-a internazional 0.90
01638438-a zahar 0.90
01640482-a bigarren_eskuko 0.90
01640850-a berri 0.90
01646941-a gazte 0.90
01687167-a berri 0.90
01732270-a geroko 0.90
01819976-a negatibo 0.90
01847515-a nonahiko 0.90
01865967-a emankor 0.90
01968165-a eguneroko 0.90
01968503-a asteroko 0.90
02026312-a kaudimendun 0.90
02028612-a eskuinti 0.90
02028612-a eskumati 0.90
02029167-a ezkerti 0.90
02031986-a zuzen 0.90
02032953-a ezker 0.90
02090069-a sekretu 0.90
02103481-a sentibera 0.90
02103481-a hunkibera 0.90
02134397-a pornografiko 0.90
02151837-a eitegabe 0.90
02161432-a garrantzitsu 0.90
02202146-a bigarren 0.90
02202307-a hirugarren 0.90
02202712-a bosgarren 0.90
02202854-a seigarren 0.90
02203249-a bederatzigarren 0.90
02203373-a hamargarren 0.90
02203629-a hamabigarren 0.90
02203763-a hamahirugarren 0.90
02204716-a hogeigarren 0.90
02208145-a berrogeita_hamarren 0.90
02234781-a labaingarriak 0.90
02343110-a bikain 0.90
02368336-a gozo 0.90
02431728-a nekatuta 0.90
02539968-a ongi_etorri 0.90
02550333-a euritsu 0.90
02551380-a lehor 0.90
02561888-a estu 0.90
02594714-a gaizto 0.90
02599269-a abkhaziar 0.90
02609813-a albaniar 0.90
02625648-a armeniar 0.90
02660940-a bielorrusiar 0.90
02723158-a estoniar 0.90
02793273-a zientifiko 0.90
02957066-a italiar 0.90
02957276-a errusiar 0.90
02957469-a alemaniar 0.90
02957469-a aleman 0.90
02958576-a espainiar 0.90
02959007-a portugaldar 0.90
02959224-a siziliar 0.90
02959553-a finlandiar 0.90
02959720-a suediar 0.90
02959912-a norvegiar 0.90
02960338-a daniar 0.90
02960507-a belgikar 0.90
02960686-a nederlandar 0.90
02961099-a austriar 0.90
02961505-a hungariar 0.90
02961688-a txekiar 0.90
02962272-a errumaniar 0.90
02962818-a letoniar 0.90
02962961-a lituaniar 0.90
02963942-a serbiar 0.90
